,invoice_id,company_reg_number,invoice_date,invoice_amount,end_date,disputed,paper_or_electronic
85,53806,20000000,25/9,147.0,11/12,0,e
86,35836,20000000,28/3,104.0,9/5,0,e
87,65325,20000000,9/5,137.0,14/7,0,e
88,16049,20000000,14/3,113.0,24/5,0,e
91,49346,20000000,28/4,128.0,27/6,0,e
92,21009,20000000,21/3,89.0,18/5,1,e
93,66151,20000000,4/5,115.0,21/7,0,e
94,69202,20000000,12/7,130.0,13/9,0,e
95,72933,20000000,17/7,154.0,26/9,0,p
96,48272,20000000,27/6,79.0,18/8,0,p
98,34826,20000000,11/9,113.0,25/11,0,e
99,46561,20000000,14/3,152.0,8/4,1,e
100,21667,20000000,21/7,129.0,16/9,0,e
101,46628,20000000,16/3,126.0,28/5,0,e
102,74035,20000000,7/9,78.0,26/12,0,e
103,44337,20000000,9/7,164.0,21/9,0,e
104,52201,20000000,9/8,84.0,26/10,0,e
105,74230,20000000,6/5,134.0,15/7,0,p
106,42015,20000000,6/1,118.0,13/2,0,e
107,28443,20000000,21/9,125.0,24/11,0,e
108,44413,20000000,16/1,109.0,4/2,0,e
109,49919,20000001,8/3,188.0,26/6,0,e
110,5169,20000001,9/9,134.0,15/12,0,e
111,44400,20000001,2/9,132.0,26/11,0,e
112,78589,20000001,19/3,113.0,16/5,0,e
113,51023,20000001,3/1,164.0,16/3,0,e
114,16652,20000001,13/4,142.0,25/6,0,e
116,65801,20000001,28/2,111.0,26/5,0,e
117,77451,20000001,9/3,161.0,5/5,1,e
118,57909,20000001,7/6,114.0,18/9,0,e
119,21488,20000001,17/4,130.0,24/6,0,e
120,54765,20000001,9/5,163.0,15/8,0,e
121,77388,20000001,18/1,150.0,21/3,0,e
122,6069,20000001,4/3,108.0,12/5,0,p
124,27072,20000001,8/3,161.0,27/5,0,p
125,73885,20000001,2/1,117.0,26/3,1,e
127,17215,20000001,17/3,177.0,17/6,1,e
128,51514,20000001,18/5,117.0,9/7,0,e
129,7506,20000001,8/5,111.0,26/7,0,e
130,62521,20000001,21/9,177.0,27/11,0,e
131,66977,20000001,26/6,107.0,13/8,0,e
132,72964,20000001,4/4,173.0,14/7,0,e
133,34664,20000001,8/1,144.0,28/3,0,e
135,73097,20000001,8/1,167.0,15/3,0,e
136,65671,20000001,21/7,118.0,11/8,1,e
138,77111,20000001,5/8,108.0,26/11,0,p
139,10946,20000001,14/4,158.0,3/7,0,e
140,18897,20000001,18/1,161.0,5/3,0,p
142,73495,20000001,17/1,130.0,8/3,0,p
145,533,20000001,9/9,151.0,27/12,0,p
146,10568,20000001,28/1,151.0,16/3,0,e
147,30676,20000001,26/8,117.0,16/10,0,p
149,22525,20000001,28/6,118.0,15/9,0,e
150,45233,20000001,10/1,168.0,11/4,0,e
152,14474,20000001,17/1,127.0,15/3,0,e
153,9662,20000001,12/3,120.0,3/6,0,p
154,6113,20000001,3/9,144.0,7/11,0,e
155,35672,20000001,8/5,178.0,7/8,0,p
158,55720,20000001,8/5,118.0,1/8,0,e
159,77980,20000001,7/8,159.0,21/11,0,e
160,37717,20000001,8/6,136.0,16/8,0,p
161,37743,20000001,26/1,134.0,11/4,0,p
162,77152,20000001,19/6,127.0,28/9,1,e
164,21682,20000001,28/8,102.0,15/10,0,e
165,26268,20000001,27/9,141.0,26/12,0,e
166,54797,20000001,18/8,136.0,21/11,0,e
167,18145,20000001,7/8,168.0,28/10,0,e
168,68539,20000001,2/2,115.0,17/3,0,e
170,29923,20000001,8/6,121.0,26/8,0,e
171,76327,20000001,2/3,153.0,18/5,0,p
172,77729,20000001,6/8,145.0,5/11,0,p
173,77902,20000001,18/5,106.0,16/7,0,p
175,20031,20000001,27/6,97.0,28/9,0,e
177,32511,20000002,3/3,188.0,21/6,0,p
178,18934,20000002,27/1,112.0,7/3,0,e
179,17123,20000002,3/3,170.0,24/4,0,e
180,44699,20000002,3/5,127.0,16/6,0,e
181,78612,20000002,28/9,115.0,18/12,0,e
182,6903,20000002,17/6,181.0,11/9,0,e
183,52130,20000002,28/9,118.0,28/12,1,e
184,47243,20000002,28/1,159.0,21/4,0,e
185,34911,20000002,24/3,168.0,21/6,0,e
187,71185,20000002,14/1,133.0,11/4,0,e
188,49869,20000002,17/8,159.0,28/11,0,e
189,11361,20000002,27/9,121.0,16/10,0,e
190,16005,20000002,19/3,117.0,15/5,1,e
191,10842,20000002,7/9,176.0,11/10,1,e
193,10366,20000002,6/5,108.0,9/8,0,e
195,42602,20000002,17/8,158.0,15/11,0,e
196,49411,20000002,3/4,121.0,18/7,0,e
197,30884,20000002,18/1,140.0,26/4,0,e
199,70423,20000002,8/6,144.0,8/8,0,e
200,69377,20000002,17/1,175.0,12/4,0,e
201,42925,20000002,4/4,162.0,17/7,0,p
202,46125,20000002,11/7,139.0,13/9,0,e
203,11570,20000002,2/7,139.0,14/9,0,p
205,10225,20000002,14/7,191.0,16/10,0,e
206,35781,20000002,21/5,104.0,16/7,0,e
208,16772,20000002,9/5,113.0,16/8,0,p
210,38151,20000002,6/4,143.0,15/7,0,p
211,20909,20000002,8/2,163.0,26/5,0,p
213,3260,20000002,14/9,159.0,26/12,0,e
214,49737,20000002,26/1,133.0,26/3,0,e
216,66570,20000002,10/3,154.0,26/4,1,e
218,35572,20000002,28/1,158.0,28/4,0,e
219,46648,20000002,9/5,111.0,28/7,0,e
220,55920,20000003,17/8,305.0,16/10,0,e
221,10610,20000003,2/11,230.0,26/12,0,e
222,61288,20000003,26/3,183.0,11/5,0,e
223,45981,20000003,14/5,232.0,26/8,0,e
224,10134,20000003,21/3,198.0,24/5,0,e
225,31226,20000003,26/3,223.0,11/5,0,p
226,24476,20000003,27/3,250.0,16/6,0,e
227,7755,20000003,17/8,258.0,21/11,0,e
228,46108,20000003,16/3,185.0,15/5,0,e
229,63593,20000003,8/4,232.0,11/6,0,p
230,70716,20000003,28/3,271.0,22/5,0,e
231,419,20000003,5/9,200.0,15/11,0,e
233,63529,20000004,9/4,199.0,14/7,0,e
234,42241,20000004,18/7,155.0,28/9,0,p
235,50243,20000004,4/4,149.0,15/6,0,e
236,12267,20000004,23/3,138.0,17/6,1,e
237,19142,20000004,23/3,187.0,13/5,0,e
238,20290,20000004,18/8,159.0,11/10,1,p
239,76540,20000004,17/4,147.0,28/7,0,e
241,79438,20000004,2/5,117.0,8/8,0,p
242,76607,20000004,7/8,182.0,7/10,0,e
243,30566,20000004,26/6,144.0,2/8,0,p
244,29625,20000004,6/3,199.0,12/6,0,p
245,2790,20000004,17/9,130.0,17/12,0,e
246,33927,20000004,5/8,133.0,21/10,0,e
247,56551,20000004,20/9,194.0,26/11,1,p
248,55501,20000004,7/1,121.0,26/4,1,e
249,64345,20000004,9/3,149.0,27/6,0,p
250,17745,20000004,28/1,215.0,6/4,0,p
251,50975,20000004,8/3,97.0,26/6,0,e
252,67939,20000004,28/2,188.0,24/5,0,e
253,42806,20000004,14/9,183.0,14/11,0,e
254,31194,20000004,27/1,155.0,13/3,0,e
256,52309,20000004,17/5,139.0,16/7,0,e
257,35890,20000004,5/7,150.0,27/9,0,e
258,67596,20000004,19/7,208.0,7/8,0,e
259,47080,20000004,19/7,112.0,18/9,0,e
260,48635,20000004,8/5,183.0,24/6,0,e
262,18926,20000004,8/3,143.0,26/6,0,e
263,50707,20000004,4/9,135.0,12/12,0,e
265,48464,20000004,7/3,205.0,28/6,0,e
266,2269,20000004,17/7,130.0,2/9,0,e
267,100,20000004,14/2,161.0,24/4,0,e
268,45190,20000004,2/7,155.0,9/9,0,e
269,21877,20000004,17/5,135.0,25/7,0,e
270,10944,20000004,8/9,182.0,9/12,1,e
271,29675,20000004,6/4,180.0,9/7,0,p
272,49819,20000004,14/8,104.0,26/10,0,e
273,44065,20000004,7/1,205.0,11/4,0,p
274,15588,20000004,12/4,130.0,3/7,0,e
275,60231,20000004,4/3,169.0,27/6,0,p
276,59296,20000004,8/5,155.0,27/7,0,e
277,33409,20000004,21/1,122.0,12/4,0,p
278,44665,20000004,17/1,188.0,18/3,0,p
279,40083,20000004,9/5,152.0,25/6,0,p
280,42573,20000004,6/9,134.0,1/12,0,e
281,54529,20000004,6/4,181.0,24/7,0,e
282,23277,20000004,21/1,170.0,11/3,0,p
284,37486,20000004,9/6,156.0,24/8,0,e
285,4297,20000004,8/7,170.0,9/9,0,e
286,71526,20000004,7/7,174.0,16/10,0,p
287,72732,20000004,15/4,122.0,13/6,0,e
288,7632,20000004,16/9,181.0,25/12,0,e
289,5840,20000004,9/1,150.0,26/4,0,e
290,58213,20000004,16/5,150.0,12/8,0,e
291,74761,20000004,6/3,166.0,27/6,0,e
292,52435,20000004,6/9,127.0,16/11,0,e
293,42843,20000004,14/6,163.0,6/7,0,p
295,565,20000004,4/6,151.0,16/8,0,e
296,51749,20000004,28/6,160.0,13/8,0,p
297,63358,20000004,17/1,147.0,11/4,0,p
298,64724,20000004,24/1,159.0,13/3,0,e
299,77880,20000004,25/5,178.0,2/7,0,e
300,21460,20000004,11/6,122.0,15/8,0,p
301,63464,20000004,8/3,207.0,27/6,0,e
302,51381,20000004,7/9,135.0,25/11,0,e
304,6878,20000004,6/1,188.0,28/3,1,e
305,74298,20000004,26/1,150.0,13/4,0,p
306,78110,20000004,17/1,161.0,13/3,1,e
307,34190,20000004,9/8,144.0,2/9,1,e
308,23783,20000004,7/2,152.0,26/4,1,e
309,64061,20000004,16/1,144.0,12/3,0,e
310,65620,20000004,28/2,178.0,9/5,0,e
312,78805,20000004,21/1,150.0,11/3,0,p
313,56009,20000004,7/1,191.0,17/3,0,p
314,26828,20000004,9/3,125.0,21/5,0,p
316,34453,20000004,14/9,144.0,26/11,0,p
317,6140,20000004,13/5,185.0,25/7,0,e
318,19598,20000004,27/9,125.0,12/11,1,e
319,50980,20000004,18/6,163.0,12/9,0,e
320,34802,20000004,11/9,188.0,18/11,1,e
321,28615,20000004,17/4,111.0,15/6,0,p
322,16887,20000004,27/3,148.0,11/5,0,e
323,16375,20000004,2/2,154.0,4/5,1,e
324,71849,20000004,11/5,166.0,26/8,0,e
331,71944,20000004,4/5,211.0,15/8,0,e
332,32129,20000004,6/5,142.0,26/7,0,e
333,1350,20000004,4/7,117.0,8/10,0,e
334,24194,20000004,27/3,167.0,9/5,0,e
335,12190,20000004,27/3,142.0,5/5,0,e
337,73159,20000005,16/6,82.0,11/8,0,e
338,38426,20000005,16/6,60.0,1/8,0,e
339,69168,20000005,17/8,61.0,13/10,0,p
341,55942,20000005,8/3,49.0,5/5,0,e
342,76099,20000005,6/5,87.0,20/8,0,e
343,64910,20000005,8/6,59.0,11/9,0,e
344,35906,20000005,9/3,74.0,17/6,0,e
345,9138,20000005,4/4,54.0,25/6,0,e
346,65975,20000005,2/1,68.0,15/2,0,e
347,23069,20000005,4/1,64.0,11/3,0,e
348,51978,20000005,16/4,60.0,28/6,0,e
349,35034,20000005,9/9,86.0,17/11,1,e
350,31780,20000005,21/3,57.0,12/6,0,e
351,37586,20000005,27/3,54.0,12/6,0,e
352,30963,20000005,22/7,83.0,9/9,0,p
353,49332,20000005,17/3,72.0,27/6,0,e
354,25812,20000005,8/1,62.0,13/3,0,e
356,28407,20000005,18/6,86.0,26/8,0,e
357,50195,20000005,2/8,52.0,25/11,0,e
358,75083,20000005,28/6,65.0,26/9,0,e
359,17642,20000005,19/6,67.0,24/8,0,e
360,77673,20000005,17/1,78.0,26/2,0,e
361,2051,20000005,2/3,62.0,9/6,1,e
362,41305,20000005,24/3,71.0,26/5,0,e
363,39232,20000005,3/8,53.0,13/11,0,p
364,42661,20000005,25/9,80.0,25/11,0,e
365,50012,20000005,6/9,54.0,15/12,0,e
366,38236,20000005,9/5,83.0,24/7,1,e
367,5975,20000005,16/4,47.0,17/6,0,e
370,17000,20000005,9/4,81.0,26/6,0,e
371,44747,20000005,14/11,73.0,15/12,0,e
372,16391,20000005,4/8,54.0,15/11,0,e
374,62908,20000005,5/1,80.0,2/4,0,e
375,50569,20000005,26/5,64.0,11/8,0,e
376,1382,20000005,8/5,75.0,11/7,1,p
377,69105,20000005,3/3,58.0,28/5,0,e
378,14690,20000005,8/8,62.0,27/11,0,p
379,74498,20000005,10/8,57.0,25/10,0,e
380,20109,20000005,7/4,89.0,13/7,0,e
381,45587,20000005,26/3,60.0,2/4,0,p
382,76198,20000005,14/1,62.0,28/4,0,p
383,40805,20000005,22/3,79.0,24/5,0,e
384,18417,20000005,18/7,43.0,17/9,0,e
386,67795,20000005,14/8,63.0,11/10,1,e
387,43835,20000005,9/5,84.0,7/6,1,e
388,57260,20000005,17/4,49.0,16/6,0,p
390,58604,20000005,9/6,76.0,24/8,0,e
391,60564,20000005,8/4,66.0,16/6,1,e
393,69159,20000005,27/4,61.0,15/7,1,e
394,40926,20000005,11/9,83.0,13/12,0,e
395,34675,20000005,9/5,53.0,12/8,0,e
396,40133,20000005,4/5,75.0,6/7,0,e
397,11688,20000005,18/6,70.0,4/8,0,e
398,27136,20000005,18/7,67.0,13/9,0,p
399,55777,20000005,5/9,59.0,26/12,0,e
401,5099,20000005,17/5,69.0,16/7,0,p
402,65450,20000005,14/1,57.0,24/3,0,e
403,47611,20000005,18/8,61.0,24/10,0,e
404,7542,20000005,26/9,79.0,26/11,0,e
406,69100,20000005,4/5,82.0,11/7,0,e
407,40664,20000005,2/7,47.0,21/10,0,e
408,20056,20000005,27/9,88.0,6/11,0,e
409,53139,20000005,16/8,44.0,11/11,1,p
410,28726,20000005,4/7,84.0,16/9,0,e
411,11089,20000005,4/5,62.0,17/7,0,p
412,22079,20000005,18/1,71.0,28/3,0,e
413,72873,20000005,21/7,56.0,26/9,1,e
416,59079,20000005,8/3,52.0,15/5,0,e
417,4004,20000005,21/1,75.0,18/4,1,e
418,9402,20000005,17/9,74.0,16/12,1,e
419,34042,20000005,9/11,63.0,21/12,0,e
420,2044,20000005,7/6,52.0,12/7,0,e
421,6567,20000005,27/5,59.0,27/7,1,e
423,71639,20000006,14/3,292.0,15/5,0,e
424,14597,20000006,8/2,216.0,9/5,1,p
426,51097,20000006,27/3,199.0,28/6,0,e
427,51604,20000006,5/4,249.0,27/6,0,p
428,36473,20000006,3/9,192.0,15/11,0,e
429,78642,20000006,23/9,246.0,12/11,0,p
430,25281,20000006,4/1,187.0,18/2,0,e
432,49432,20000006,28/5,171.0,16/7,0,e
434,49550,20000006,14/1,226.0,6/4,0,e
435,39211,20000006,8/8,221.0,2/10,1,p
436,1927,20000006,14/4,228.0,3/6,0,e
437,24526,20000006,7/8,156.0,12/11,0,e
438,46989,20000006,3/6,212.0,11/8,0,e
439,745,20000006,2/5,238.0,26/8,0,e
441,30905,20000006,27/7,219.0,27/10,0,e
442,51637,20000006,3/7,181.0,21/9,1,p
443,65229,20000006,14/9,183.0,16/12,0,e
445,3779,20000006,11/3,194.0,13/6,0,p
446,73489,20000006,18/4,272.0,13/7,0,e
447,24724,20000006,8/3,186.0,9/5,0,e
448,45830,20000006,19/9,201.0,6/11,0,p
449,62248,20000006,4/10,227.0,24/12,0,e
450,9607,20000006,9/1,260.0,3/4,0,e
451,33360,20000006,14/3,235.0,28/6,0,e
452,70968,20000006,12/9,146.0,24/11,0,e
453,16374,20000007,4/3,265.0,26/5,0,p
454,41574,20000007,5/4,241.0,26/6,0,e
456,32562,20000007,24/6,190.0,16/9,0,e
457,23119,20000007,4/3,159.0,21/5,0,e
458,27632,20000007,21/9,245.0,2/11,0,e
459,11520,20000007,4/4,216.0,26/6,0,e
460,58155,20000007,18/5,212.0,13/7,1,e
461,43086,20000007,9/7,220.0,24/10,0,e
462,7945,20000007,8/7,241.0,21/10,0,e
463,42212,20000007,18/5,182.0,12/8,0,e
464,72216,20000007,27/6,175.0,20/8,0,e
465,41348,20000007,10/9,224.0,13/11,0,e
466,60113,20000007,4/1,261.0,18/3,0,e
468,40578,20000007,5/8,200.0,2/10,0,e
469,44258,20000007,16/6,238.0,26/8,1,p
470,31246,20000007,5/8,162.0,24/10,0,e
472,54772,20000007,4/8,177.0,13/10,0,p
473,440,20000007,28/3,239.0,12/6,0,e
474,57045,20000007,11/9,222.0,26/11,1,e
475,43977,20000007,16/8,146.0,21/10,0,e
476,48127,20000007,10/4,270.0,28/7,0,e
478,23833,20000007,8/4,174.0,28/6,0,p
479,53743,20000007,14/9,207.0,1/12,0,e
480,5006,20000007,8/6,256.0,18/9,0,e
481,33339,20000007,12/3,155.0,16/4,0,p
482,33340,20000007,10/5,213.0,17/6,0,e
483,27507,20000007,17/1,243.0,11/3,0,e
484,34739,20000007,4/3,160.0,24/6,1,e
485,77596,20000007,10/11,248.0,15/12,0,p
486,16156,20000007,28/5,222.0,15/7,0,e
488,65827,20000007,9/6,201.0,13/8,1,e
489,23052,20000007,19/8,174.0,26/9,1,e
490,36327,20000007,22/3,236.0,17/6,0,e
491,49154,20000007,21/3,240.0,11/6,0,e
492,51809,20000007,8/3,177.0,12/5,0,e
493,29070,20000007,9/3,225.0,10/6,0,e
495,33209,20000007,3/3,181.0,6/5,0,e
496,79153,20000007,17/8,269.0,24/10,0,e
497,17957,20000007,5/9,200.0,27/12,0,p
500,69209,20000007,18/4,221.0,24/7,0,p
501,38610,20000007,17/3,194.0,28/6,0,e
503,31868,20000007,8/5,225.0,17/7,0,e
504,28036,20000007,18/4,191.0,21/6,0,p
505,6180,20000007,17/1,229.0,26/4,1,e
506,77732,20000007,4/9,217.0,7/11,0,e
508,27376,20000007,21/5,159.0,6/8,1,e
509,50799,20000007,5/8,216.0,16/10,0,p
511,21212,20000007,25/9,229.0,26/11,0,p
512,64358,20000007,26/9,169.0,11/12,0,p
513,62236,20000007,9/5,203.0,12/7,0,e
514,38336,20000007,11/1,233.0,28/3,0,e
516,24649,20000007,2/4,169.0,17/6,0,e
517,57574,20000007,28/3,251.0,27/6,0,e
518,25791,20000007,18/9,246.0,25/11,0,e
519,32157,20000007,27/1,149.0,16/3,0,p
520,50410,20000007,27/1,275.0,21/3,0,e
521,21164,20000007,28/9,158.0,16/12,0,e
523,10680,20000007,3/3,229.0,26/4,0,e
524,45808,20000007,17/3,187.0,26/6,0,e
525,43294,20000008,19/6,107.0,26/8,0,e
526,74797,20000008,6/2,88.0,26/4,0,e
527,6123,20000008,23/1,72.0,16/3,0,e
528,55821,20000008,6/1,89.0,26/4,0,e
529,56683,20000008,11/4,61.0,21/7,0,p
530,59567,20000008,14/9,106.0,26/11,0,e
531,45256,20000008,17/8,69.0,26/10,0,p
532,59876,20000008,20/9,63.0,13/11,0,e
533,70130,20000008,7/1,110.0,27/3,0,p
534,79412,20000008,28/7,82.0,26/10,0,e
536,72623,20000008,27/1,101.0,28/3,0,p
538,57146,20000008,9/8,62.0,22/10,1,e
539,64302,20000008,16/6,102.0,28/8,0,e
540,7171,20000008,10/8,55.0,1/11,0,e
541,4696,20000008,25/3,93.0,15/6,0,e
542,37030,20000008,6/7,88.0,16/10,0,e
543,77973,20000008,26/4,76.0,5/6,0,e
544,11106,20000008,11/9,80.0,24/11,0,e
545,14897,20000008,28/5,73.0,4/7,0,e
548,78943,20000008,8/1,96.0,24/3,0,e
549,77962,20000008,14/8,82.0,17/10,0,e
550,78478,20000008,20/3,84.0,26/6,0,e
551,15131,20000008,12/8,71.0,28/10,0,e
552,7933,20000008,8/4,76.0,1/6,0,e
553,28522,20000008,17/8,111.0,17/10,0,p
554,12792,20000008,18/6,62.0,13/9,0,e
555,54084,20000008,27/3,76.0,16/5,0,e
556,26113,20000008,3/7,107.0,21/10,0,p
557,57609,20000008,28/6,58.0,11/9,0,p
558,11441,20000008,14/1,92.0,26/3,0,e
559,63731,20000008,24/5,86.0,28/8,0,e
560,10076,20000008,14/9,66.0,25/12,0,e
561,13450,20000008,18/1,109.0,25/4,0,e
562,70606,20000008,8/7,55.0,11/9,0,p
563,19464,20000008,26/1,80.0,27/2,0,e
564,60871,20000008,18/6,82.0,24/9,1,e
565,62181,20000008,9/5,80.0,16/8,0,p
566,29982,20000008,28/8,110.0,28/10,0,p
567,16702,20000008,21/1,73.0,11/4,0,p
568,11187,20000008,28/1,88.0,13/4,1,e
569,66430,20000008,20/7,60.0,16/10,0,e
570,9444,20000008,17/8,107.0,11/10,0,e
571,48909,20000008,3/3,54.0,15/6,0,e
574,78284,20000008,28/6,79.0,16/8,0,e
575,35701,20000008,1/3,90.0,24/5,0,e
576,63313,20000008,17/4,86.0,1/7,0,p
577,68461,20000008,5/5,66.0,26/7,0,p
578,21994,20000008,27/5,79.0,12/7,0,e
579,25953,20000008,22/1,100.0,9/3,0,e
581,26889,20000008,23/8,62.0,26/10,0,e
582,15336,20000008,9/1,89.0,13/3,0,e
583,9011,20000008,14/3,75.0,12/5,0,e
584,19333,20000008,6/9,79.0,27/11,0,e
585,1162,20000008,14/4,90.0,16/7,0,e
586,67705,20000008,25/9,85.0,13/12,0,e
587,71154,20000008,26/9,96.0,28/11,0,e
588,65754,20000008,14/3,83.0,17/6,0,e
589,41161,20000008,9/1,73.0,26/2,0,p
590,31224,20000008,6/3,76.0,3/5,0,e
591,43970,20000008,3/7,71.0,14/9,0,e
592,25150,20000008,23/3,89.0,11/4,0,e
593,52806,20000008,27/3,83.0,26/5,0,e
594,37764,20000008,6/9,78.0,9/11,1,e
595,45725,20000008,6/7,104.0,26/8,0,e
596,19886,20000008,17/8,86.0,27/10,0,e
597,7553,20000008,7/5,82.0,4/6,0,e
600,60181,20000008,10/8,77.0,7/11,0,p
602,71559,20000008,9/1,93.0,26/3,0,e
604,71570,20000008,2/3,80.0,14/5,0,e
605,54690,20000008,14/7,69.0,17/9,0,e
606,32409,20000008,9/3,99.0,24/5,0,e
607,5144,20000008,28/8,84.0,25/10,0,e
608,41155,20000008,15/5,63.0,18/8,0,e
610,14882,20000008,27/5,57.0,24/7,0,p
612,1402,20000008,9/3,72.0,5/6,1,e
613,75473,20000008,20/1,68.0,21/4,0,e
614,9931,20000010,14/4,154.0,18/6,0,e
615,8757,20000010,28/1,134.0,5/3,0,e
616,43144,20000010,6/9,172.0,2/11,0,e
618,76675,20000010,19/6,137.0,3/8,0,e
619,72390,20000010,14/4,155.0,13/6,1,e
620,15918,20000010,4/10,143.0,28/11,0,e
622,9862,20000010,7/6,113.0,25/9,0,e
623,25556,20000010,6/7,173.0,20/10,0,e
624,16672,20000010,18/3,132.0,11/6,0,e
625,61571,20000010,5/6,138.0,11/8,0,e
628,45894,20000010,7/9,119.0,7/10,0,p
629,71208,20000010,8/5,145.0,15/7,0,p
630,49956,20000010,11/8,126.0,15/11,0,e
631,20701,20000010,8/1,173.0,11/4,0,e
632,58965,20000010,26/4,106.0,20/6,0,e
633,29243,20000010,13/9,137.0,13/11,0,e
634,34131,20000010,7/5,149.0,17/7,0,p
635,64813,20000010,2/5,170.0,21/7,0,e
636,28199,20000010,18/1,92.0,5/4,0,p
637,27745,20000010,14/3,153.0,26/5,0,e
639,39158,20000010,9/4,118.0,16/7,1,e
640,53056,20000010,2/4,169.0,28/7,0,e
641,14350,20000010,9/3,132.0,9/6,0,e
642,7452,20000010,7/9,99.0,27/12,0,e
643,46294,20000010,3/3,137.0,24/6,0,e
644,167,20000010,3/8,150.0,26/10,0,e
646,58298,20000010,8/4,173.0,16/6,0,e
647,54426,20000010,20/1,138.0,13/4,0,p
648,24197,20000010,16/5,103.0,13/7,0,e
650,46715,20000010,28/1,120.0,26/3,0,e
651,44803,20000010,27/1,143.0,2/3,0,e
652,49801,20000010,8/9,168.0,24/12,0,e
653,60542,20000010,26/8,135.0,4/10,0,e
654,32865,20000010,10/1,120.0,25/2,0,e
655,40722,20000010,19/3,144.0,28/5,0,e
656,21027,20000010,17/6,139.0,5/8,0,e
658,34354,20000010,9/7,165.0,6/9,1,p
659,10623,20000010,27/6,91.0,26/9,0,e
660,27211,20000010,28/7,135.0,9/10,0,p
661,64895,20000010,3/9,176.0,17/12,0,p
662,21008,20000010,6/7,132.0,26/10,0,e
663,23619,20000010,14/1,123.0,11/4,0,e
664,63121,20000010,2/4,155.0,16/6,0,e
665,56754,20000010,27/9,159.0,26/12,0,e
666,34040,20000010,11/1,136.0,22/3,0,p
667,43452,20000010,6/1,103.0,15/4,0,e
668,10954,20000010,9/7,158.0,5/9,0,e
669,7173,20000010,4/8,134.0,26/10,0,e
670,56848,20000010,11/7,160.0,21/10,1,e
671,16935,20000010,22/8,140.0,5/11,0,e
